caption,image_id,funny_score
you all loved it so i brought it back,mcdonalds_0,1.0
20 pics for 20 pieces <3,mcdonalds_1,1.0
i love him though,mcdonalds_2,1.0
what did u say,mcdonalds_3,1.0
the crossover u never knew u needed,mcdonalds_4,0.5
me n who?,mcdonalds_5,0.0
"loving Grimace in all his forms, Collector’s Meal is out now",mcdonalds_6,0.5
impossible to pick a fave. Get 1 of 6 collector’s cups today with the Collector’s Meal before it’s gone.,mcdonalds_7,0.0
in 20 years ur gonna be happy u collected all 6 limited edition cups. Collector’s Meal 8.13.,mcdonalds_8,0.0
ur not ready for what i’m about to spill,mcdonalds_9,0.0
which core memory did these just unlock,mcdonalds_10,1.0
how many fingers are you holding up,mcdonalds_11,1.0
juju strolling my way over rn,mcdonalds_12,1.0
this show has changed me,mcdonalds_13,1.0
race weekend recap 🏁,mcdonalds_14,0.5
from shibuya to the mcd’s app 🤌🫴🟣,mcdonalds_15,0.0
shibuya meets chicago. see u at the race 7.7 @jujutsukaisen,mcdonalds_16,1.0
so which one are u trying to get on 7.9?,mcdonalds_17,0.0
i’ll show u what real jujutsu is. special grade garlic sauce drops 7.9 in the app,mcdonalds_18,1.0
something SPECIALZ coming,mcdonalds_19,1.0
happy birthday month to grimace say it back,mcdonalds_20,1.0
in grimace we trust @mets,mcdonalds_21,1.0
or am i alone in this world,mcdonalds_22,1.0
took a ride with @bubbawallace & @tyler_reddick at race weekend in Iowa 🏎️💨,mcdonalds_23,0.0
"we asked u which cars u wanted to see @bubbawallace & @tyler_reddick drive in Iowa 
take a look at their new rides 🤩",mcdonalds_24,0.0
this is ur sign to call ur grandma. get a Grandma McFlurry before it’s gone,mcdonalds_25,0.0
thanks for sharing all ur grandma nicknames i loved hearing about all of them,mcdonalds_26,0.0
the Grandma McFlurry is out and I’ve already taken 3 grandmas today wbu,mcdonalds_27,0.0
calling every grandma i know bc the Grandma McFlurry comes out 5.21,mcdonalds_28,0.0
michelangelo’s drive thru,mcdonalds_29,1.0
"the dream team is back again, vote for ur fav in stories 🏎️",mcdonalds_30,0.0
one me espresso to go please,mcdonalds_31,1.0
real ones remember,mcdonalds_32,1.0
ur order is ready,mcdonalds_33,1.0
💅,mcdonalds_34,1.0
lmk,mcdonalds_35,1.0
the Filet-O-Fish wows in a new photo ,mcdonalds_36,0.5
the more you know,mcdonalds_37,1.0
let me know at your earliest convenience,mcdonalds_38,1.0
couldn’t keep the secret any longer,mcdonalds_39,1.0
i’ll miss this crew. maybe we’ll meet again some day,mcdonalds_40,1.0
my head is now permanently nodding - official wcdonald’s music video w/ @rrreol999 & @studiopierrotjp out now,mcdonalds_41,1.0
