imgAlt,imgName,isMeme
How cool is that?!😍 Thanks gegette_and_co for visiting our McDrive!🐴 We hope the grass for your horse was just as tasty,mcdonalds_switzerland_0,-1
"For me, it's a deal breaker.",mcdonalds_switzerland_1,1
Sweet tooth alert! Please give a warm welcome to the Frappé Cappuccino Caramel 🎉,mcdonalds_switzerland_2,-1
POV: you have a free menu with your loyalty points and your friends don’t.,mcdonalds_switzerland_3,1
"Which shape do you prefer? Mine is the bell 🔔

Thank you @sh.kurtaj and @liebestorten_bern from the Köniz McDonald's: challenge completed!",mcdonalds_switzerland_4,-1
"So, this McDonald's you MUST recognize. Tell me in the comments where it is, and we'll see if you're a real OG.",mcdonalds_switzerland_5,-1
"The people who do that, we see you 👀",mcdonalds_switzerland_6,-1
"Follow me, I'll take you to a wonderfully tasty place.",mcdonalds_switzerland_7,1
You know the drill: good taste knows no age. That's why the 1955 is making a comeback!,mcdonalds_switzerland_8,-1
My pupils right now...,mcdonalds_switzerland_9,1
Excuse my French.,mcdonalds_switzerland_10,1
Here we go for a new season! Grimace has already binge watched it all. How about you?,mcdonalds_switzerland_11,-1
"Festival season is well underway in Switzerland, and I've remixed a few iconic movie posters with McDonald's flavor. Do",mcdonalds_switzerland_12,1
I'll call it ''shooting fries night''.,mcdonalds_switzerland_13,1
"Imagine this car at the Street Parade, how would you call it? I'd say ""Technuggets"".",mcdonalds_switzerland_14,1
@randomfoodaddict knows how to enjoy her day properly!,mcdonalds_switzerland_15,-1
"""Je voudrais un Menu Big Mac, s'il vous plaît."" ",mcdonalds_switzerland_16,1
Those curls!!! 🤤,mcdonalds_switzerland_17,1
"With the Summer deals can have two delicious products for only Fr. 5.-. Which one will you choose? Sweet, salty, or both? 

Conditions on mcdonalds.ch",mcdonalds_switzerland_18,-1
How to have a delicious national day! 🇨🇭🎉,mcdonalds_switzerland_19,1
Fries Friends Forever <3,mcdonalds_switzerland_20,-1
Is there a smile on your Happy Meal® box or has it been stolen as well?,mcdonalds_switzerland_21,-1
"""Yeah, I'm used to eating spicy food."" I see you!",mcdonalds_switzerland_22,1
"This one is brand new and really nice! So, do you know where this restaurant is? ",mcdonalds_switzerland_23,-1
"🚨 Contest Alert! 🚨 Win a Signed Tennis Racket 🎾✨

Hey, tennis family! To celebrate the 10th anniversary of the sponsorship program for young talents by McDonald’s, @mcdonalds_switzerland and I are giving away amazing prizes today 🎁 The main prize is my original tennis racket, with which I defeated Stefanos Tsitsipas at the US Open 2023. 🎾

How to Enter:
1️⃣ Like this post 👍
2️⃣ Tag your sports buddy in the comments 👥
3️⃣ Follow @mcdonalds_switzerland 📲

🕔 Deadline: The contest ends on Tuesday, August 9, 2024, at 5:00 PM.

🏅 Winner Announcement: We’ll announce the lucky winners by Wednesday, August 14, in the comments. Stay tuned!�

This contest is hosted by Dominic Stricker in collaboration with McDonald's Switzerland. Note: This contest is not affiliated with Meta.

🤞 Good luck everyone! 

#atp #atptour #tennis #mcdonalds #sportsponsorship",mcdonalds_switzerland_24,-1
You don't even need to choose between sweet and salty. It's easier than finding your OOTD!,mcdonalds_switzerland_25,0
A little evening camping by Léman Lake with Chicken McNuggets and my favorite sauce. Who would you share (or not) your,mcdonalds_switzerland_26,-1
It's cool like a summer breeze. Can you guess the product?,mcdonalds_switzerland_27,1
The app is what you need!,mcdonalds_switzerland_28,0
"Hungry, short on time, but still want to enjoy your lunch? Here is my life hack.",mcdonalds_switzerland_29,-1
"Which one is your favorite?🤤

Thanks to @sh.kurtaj and her team at the Bern Westside's McDonald’s for sharing this awesome video with us! 

#McFamilySwitzerland",mcdonalds_switzerland_30,-1
We all need to spice up our lives.,mcdonalds_switzerland_31,1
Who should invite you for a Spicy McCrispy? And will they be able to handle it?🔥,mcdonalds_switzerland_32,-1
"A little treat and a good deed: every time you eat a Heart Donut, Fr. 1.– is donated to the Ronald McDonald Foundation, which provides temporary housing for families of hospitalized children 🫶🍩",mcdonalds_switzerland_33,-1
"🎤🔥 Get the party started before the mega star concert! McDonald's on Hohlstrasse, near Letzipark, is waiting for you",mcdonalds_switzerland_34,-1
The biggest news of all is that the minions sneaked into the Happy Meal®!,mcdonalds_switzerland_35,-1
Should we rename it “the International KitKat® Donut Day”?,mcdonalds_switzerland_36,1
